material,morphology,indenter,force_n,contact_i_mm,contact_j_mm,D_neighbor_DN
dragon_skin,baseline,sphere_30mm,15.0,33.0,44.0,8.610388292362433
dragon_skin,baseline,sphere_30mm,15.0,44.0,55.0,9.648498719975326
dragon_skin,flat_opt,sphere_30mm,2.0,0.0,11.0,5.754354625237757
dragon_skin,flat_opt,sphere_30mm,2.0,11.0,22.0,8.687817015844443
dragon_skin,flat_opt,sphere_30mm,2.0,22.0,33.0,9.751336942790893
dragon_skin,flat_opt,sphere_30mm,2.0,33.0,44.0,7.2697204683382175
dragon_skin,flat_opt,sphere_30mm,2.0,44.0,55.0,21.822297865794997
dragon_skin,flat_opt,sphere_30mm,5.0,0.0,11.0,6.243833673950275
dragon_skin,flat_opt,sphere_30mm,5.0,11.0,22.0,9.417996069366662
dragon_skin,flat_opt,sphere_30mm,5.0,22.0,33.0,9.847020400647734
dragon_skin,flat_opt,sphere_30mm,5.0,33.0,44.0,7.046691451811149
dragon_skin,flat_opt,sphere_30mm,5.0,44.0,55.0,22.2081079296354
dragon_skin,flat_opt,sphere_30mm,10.0,0.0,11.0,7.689047241403418
dragon_skin,flat_opt,sphere_30mm,10.0,11.0,22.0,11.258639574378575
dragon_skin,flat_opt,sphere_30mm,10.0,22.0,33.0,10.03759284247393
dragon_skin,flat_opt,sphere_30mm,10.0,33.0,44.0,6.70192857252644
dragon_skin,flat_opt,sphere_30mm,10.0,44.0,55.0,23.126037327034958
dragon_skin,flat_opt,sphere_30mm,15.0,0.0,11.0,9.216255136871467
dragon_skin,flat_opt,sphere_30mm,15.0,11.0,22.0,12.921440799457812
dragon_skin,flat_opt,sphere_30mm,15.0,22.0,33.0,10.463220847439619
dragon_skin,flat_opt,sphere_30mm,15.0,33.0,44.0,6.185317366052538
dragon_skin,flat_opt,sphere_30mm,15.0,44.0,55.0,24.89334431155132
